OECD Factbook 2015-2016 - ISBN 9789264251113 - © OECD 2016;;;;;;;;;;;;;
 ;Employment rates of native- and foreign-born population by educational attainment;;;;;;;;;;;;
 ;As a percentage of population aged 25-64;;;;;;;;;;;;
 ; ;2007;;;;;;2014;;;;;
;;Native-born;;;Foreign-born;;;Native-born;;;Foreign-born;;
;;Low;High;Total;Low;High;Total;Low;High;Total;Low;High;Total
 ;Australia; ..; ..;77,2; ..; ..;71,1; ..; ..;76,5; ..; ..;72,7
 ;Austria;57,1;89,5;76,5;57,5;75,5;67,3;54,2;87,5;77,1;50,9;76,6;67,4
 ;Belgium;51,8;86,3;71,9;39,5;73,8;55,3;49,4;87,0;73,4;42,1;72,8;57,7
 ;Canada; ..; ..; ..; ..; ..; ..;56,6;83,2;77,2;52,7;77,5;73,3
 ;Chile; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;Czech Republic;45,7;85,3;74,6;45,7;81,9;69,6;42,7;84,6;76,8;46,9;81,9;74,9
 ;Denmark;67,4;88,8;81,3;54,1;76,4;63,9;63,1;87,6;79,3;51,9;76,0;66,6
 ;Estonia;56,5;88,3;80,1;45,7;83,1;75,2;60,3;85,6;78,1;69,3;73,4;68,8
 ;Finland;58,0;85,6;76,2;54,1;76,5;70,7;53,4;84,3;75,6;54,4;68,4;63,9
 ;France;59,0;85,0;73,7;54,3;70,8;62,1;55,3;85,6;74,2;50,5;71,6;60,6
 ;Germany;56,1;87,7;76,2;52,3;70,5;62,8;57,9;89,8;81,0;58,1;78,0;70,8
 ;Greece;56,7;83,8;68,3;74,8;70,9;72,7;45,5;69,4;56,2;55,9;54,4;54,3
 ;Hungary;38,4;80,5;65,4;50,1;77,5;70,7;45,1;81,8;69,5;59,5;81,6;75,0
 ;Iceland;82,3;92,5;87,8;86,9;88,4;86,8;76,0;90,5;84,8;83,3;83,7;83,9
 ;Ireland;58,6;88,3;74,0;60,3;80,9;75,9;47,0;83,6;69,3;43,7;73,7;66,9
 ;Israel;42,8;85,4;71,2;43,0;80,4;69,0; ..; ..; ..; ..; ..; ..
 ;Italy;51,5;80,6;64,4;66,9;75,2;71,0;48,0;78,8;62,8;58,9;69,0;63,5
 ;Japan; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;Korea; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;Luxembourg;52,3;83,8;69,8;70,5;85,1;76,3;55,6;86,6;74,8;64,9;83,5;76,4
 ;Mexico;63,0;82,8;67,8;66,6;69,3;65,5;63,4;79,2;67,7;64,5;76,8;67,2
 ;Netherlands;63,7;88,4;79,2;50,9;77,7;64,3;61,5;89,1;79,0;48,6;79,6;64,2
 ;New Zealand;69,7;85,3;81,5;60,7;80,0;75,3;68,7;89,8;81,7;61,9;83,1;77,6
 ;Norway;66,5;90,3;82,3;58,1;86,6;75,3;62,5;91,2;82,7;58,1;81,7;73,8
 ;Poland;41,2;84,6;65,7;15,3;65,7;36,3;39,3;86,3;69,0; ..;80,7;71,8
 ;Portugal;71,3;85,8;74,3;75,4;87,0;79,2;62,8;83,2;70,2;66,0;79,1;72,7
 ;Slovak Republic;29,0;84,2;70,0;40,4;87,2;70,1;32,6;80,0;69,4;42,2;75,5;67,0
 ;Slovenia;56,1;88,0;75,0;56,7;81,8;69,2;49,4;84,0;71,6;45,5;68,2;60,8
 ;Spain;57,8;85,5;69,7;71,4;78,8;74,9;49,3;78,7;63,5;49,8;66,8;57,9
 ;Sweden;71,1;90,5;84,8;51,5;78,3;67,7;71,3;91,9;86,5;51,8;78,3;68,9
 ;Switzerland;65,0;93,0;84,5;67,3;82,7;75,5;68,5;92,1;86,3;70,1;83,0;78,3
 ;Turkey; ..; ..; ..; ..; ..; ..;47,6;76,5;54,5;38,8;68,3;55,8
 ;United Kingdom;54,7;88,9;76,8;47,1;83,2;70,6;60,8;86,4;78,2;53,1;81,1;74,0
 ;United States;51,5;84,0;76,5;68,8;80,3;75,2;45,0;81,8;73,2;65,8;77,1;72,4
 ;EU 28;57,0;86,2;72,1;59,5;77,8;68,6;52,3;84,8;72,1;53,8;75,7;66,1
 ;OECD; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;Brazil; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;China; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;India; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;Indonesia; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;Russian Federation; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;South Africa;27,8;79,9;36,3;60,8;75,3;63,7; ..; ..; ..; ..; ..; ..
..;Not available;;;;;;;;;;;;
Disclaimer: http://oe.cd/disclaimer;;;;;;;;;;;;;
