OECD Factbook 2015-2016 - ISBN 9789264251113 - © OECD 2016;;;;;;;;;;
 ;Foreign-born and foreign populations;;;;;;;;;
 ;;;;;;;;;;
 ; ;As a percentage of total population;;;;;;;;"As a percentage of all
foreign-born"
;;Foreign-born population;;;;Foreign population;;;;Foreign-born nationals
;;2000;2005;2010;2013;2000;2005;2010;2013;"2011 or latest
available year"
 ;Australia;23,0;24,1;26,6;27,6; ..; ..; ..; ..; ..
 ;Austria;10,4;14,5;15,7;16,7;8,8;9,7;10,9;12,6;36,5
 ;Belgium;10,3;12,1;14,9;15,5;8,4;8,6;10,2;10,9;44,2
 ;Canada;17,4;18,7;19,9;20,0; ..; ..; ..; ..; ..
 ;Chile; ..;1,5;2,2; ..; ..; ..; ..; ..; ..
 ;Czech Republic;4,2;5,1;6,3;7,1;1,9;2,7;4,0;4,2;59,1
 ;Denmark;5,8;6,5;7,7;8,5;4,8;5,0;6,2;7,1;40,8
 ;Estonia;18,4;16,9;16,0;10,1; ..;19,0;16,3;16,1;37,4
 ;Finland;2,6;3,4;4,6;5,6;1,8;2,2;3,1;3,8;46,3
 ;France;10,1;11,3;11,7; ..; ..;5,8;6,1; ..;53,2
 ;Germany;12,5;12,6;13,0;12,8;8,9;8,2;8,3;9,3;52,6
 ;Greece; ..; ..;7,4; ..;2,9;5,0;7,3;6,2;20,0
 ;Hungary;2,9;3,3;4,5;4,5;1,1;1,5;2,1;1,4;71,9
 ;Iceland;6,0;8,3;10,9;11,5; ..;4,7;6,6;7,0;47,5
 ;Ireland;8,7;12,6;17,0;16,4; ..; ..;12,3; ..;29,0
 ;Israel;32,2;28,1;24,5;22,6; ..; ..; ..; ..; ..
 ;Italy; ..; ..;8,9; ..;2,4;4,6;7,6;8,1;25,0
 ;Japan;1,0; ..; ..; ..;1,3;1,6;1,7;1,6; ..
 ;Korea;0,3; ..; ..; ..;0,4;1,1;2,0;2,0; ..
 ;Luxembourg;33,2;36,2;40,5;43,7;37,3;41,1;43,5;45,8;13,9
 ;Mexico;0,5;0,5;0,8;0,8; ..; ..;0,2; ..; ..
 ;Netherlands;10,1;10,6;11,2;11,6;4,2;4,2;4,6;4,9;67,3
 ;New Zealand;17,2;20,3;27,3;28,2; ..; ..; ..; ..; ..
 ;Norway;6,8;8,2;11,6;13,9;4,0;4,8 |;7,6;9,5;46,2
 ;Poland; ..; ..; ..; ..; ..; ..; ..; ..;84,8
 ;Portugal;5,1;7,1;8,1; ..;2,1;4,0;4,2;3,7;67,3
 ;Slovak Republic; ..;4,6; ..;3,2;0,5;0,5;1,3;1,1;79,9
 ;Slovenia; ..; ..;11,2;16,1; ..; ..;4,7;5,4;74,5
 ;Spain;4,9;11,1;14,3;13,4; ..;9,5;12,4;10,7;22,1
 ;Sweden;11,3;12,5;14,8;16,0;5,4;5,3;6,8;7,2;66,6
 ;Switzerland;21,9;23,8;26,5;28,3;19,3;20,3;22,0;23,3;31,9
 ;Turkey;1,9; ..; -; ..; ..; ..; ..; ..; ..
 ;United Kingdom;7,9;9,2;11,2;12,3;4,0;5,0;7,2;7,7;41,6
 ;United States;11,0;12,1;12,9;13,1; ..;7,2;7,3;7,0;49,1
 ;EU 28; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;OECD; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;Brazil; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;China; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;India; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;Indonesia; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;Russian Federation; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;South Africa; ..; ..; ..; ..; ..; ..; ..; ..; ..
..;Not available;;;;;;;;;
-;Nil;;;;;;;;;
|;Break in series;;;;;;;;;
Disclaimer: http://oe.cd/disclaimer;;;;;;;;;;
