OECD Factbook 2015-2016 - ISBN 9789264251113 - © OECD 2016;;;;;;;;;;;;;;
 ;Gross fixed capital formation;;;;;;;;;;;;;
 ;Annual growth in percentage;;;;;;;;;;;;;
 ; ;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ;Australia;12,6;8,5;6,3;9,3;5,1;9,5;2,1;2,1;3,8;11,5;2,0;-1,5;-2,0
 ;Austria;-2,9;3,8;0,9;0,2;1,1;4,6;1,4;-7,3;-2,1;6,7;1,3;-0,3;-0,2
 ;Belgium;-4,3;-0,4;8,9;6,1;2,0;6,8;1,9;-6,6;-0,8;4,2;0,2;-1,7;7,0
 ;Canada;1,0;5,2;8,4;9,2;6,3;3,2;1,6;-11,5;11,5;4,8;4,8;0,4;0,2
 ;Chile;2,2;6,5;11,3;23,5;4,3;10,8;17,9;-12,1;11,6;15,0;11,6;2,1;-6,1
 ;Czech Republic;2,2;1,8;3,9;6,4;5,9;13,5;2,5;-10,1;1,3;1,1;-3,2;-2,7;2,0
 ;Denmark;-0,7;-0,0;4,2;4,8;15,1;0,7;-3,3;-14,3;-4,0;0,3;0,6;0,9;4,0
 ;Estonia;23,9;17,8;5,5;15,3;22,9;10,3;-13,1;-36,7;-2,6;34,4;6,7;3,2;-3,1
 ;Finland;-3,0;2,8;4,7;3,2;1,3;10,0;0,3;-12,5;1,1;4,1;-2,2;-5,2;-3,3
 ;France;-0,9;1,9;3,5;2,9;3,6;5,5;0,9;-9,1;2,1;2,1;0,2;-0,6;-1,2
 ;Germany;-5,8;-1,3;0,0;0,7;7,5;4,1;1,5;-10,1;5,4;7,2;-0,4;-1,3;3,5
 ;Greece;-0,3;15,1;3,0;-11,9;19,4;15,9;-7,2;-13,9;-19,3;-20,5;-23,5;-9,4;-2,8
 ;Hungary;7,8;1,3;7,6;3,6;0,7;4,2;1,0;-8,3;-9,5;-1,3;-4,4;7,3;11,2
 ;Iceland;-12,8;9,8;26,7;32,0;23,4;-11,2;-19,0;-47,8;-8,6;11,6;5,3;-1,0;15,4
 ;Ireland;5,6;7,9;9,8;16,7;7,5;-0,2;-11,5;-16,9;-15,5;3,2;8,6;-6,6;14,3
 ;Israel;-5,4;-5,3;2,0;3,2;6,5;10,1;5,1;-2,9;10,0;14,6;3,6;3,6;-2,0
 ;Italy;4,2;-0,3;2,1;1,7;3,2;1,6;-3,1;-9,9;-0,5;-1,9;-9,3;-6,6;-3,5
 ;Japan;-4,9;0,2;0,4;0,8;1,5;0,3;-4,1;-10,6;-0,2;1,4;3,4;3,2;2,6
 ;Korea;6,9;4,8;2,9;2,0;3,6;5,0;-0,9;0,3;5,5;0,8;-0,5;3,3;3,1
 ;Luxembourg;0,2;4,4;6,4;-3,3;4,7;14,9;7,3;-13,2;0,0;17,2;-0,3;-7,2;9,9
 ;Mexico;-0,6;0,4;7,5;5,9;8,7;6,0;5,0;-9,3;1,3;7,8;4,8;-1,6;2,3
 ;Netherlands;-4,5;-1,6;0,2;3,1;7,2;6,5;4,1;-9,2;-6,5;5,6;-6,3;-4,4;3,5
 ;New Zealand;7,9;14,2;8,1;5,7;-2,0;7,8;-7,4;-9,3;3,3;5,5;7,2;10,4;8,8
 ;Norway;-0,3;0,4;10,0;12,0;9,1;11,7;0,9;-6,8;-6,6;7,4;7,6;6,8;0,6
 ;Poland;-6,1;1,2;6,7;8,7;13,3;19,2;8,4;-1,9;-0,4;8,8;-1,8;-1,1;9,8
 ;Portugal;-3,4;-7,3;0,1;0,1;-0,8;3,1;0,4;-7,6;-0,9;-12,5;-16,6;-5,1;2,8
 ;Slovak Republic;-0,0;-3,2;4,7;16,5;9,1;8,9;1,6;-18,7;7,2;12,7;-9,2;-1,1;3,5
 ;Slovenia;0,5;5,8;5,4;3,5;10,2;12,0;7,0;-22,0;-13,3;-4,9;-8,8;1,7;3,2
 ;Spain;4,6;7,0;5,1;7,5;7,4;4,4;-3,9;-16,9;-4,9;-6,9;-7,1;-2,5;3,5
 ;Sweden;-2,3;2,5;5,8;5,1;9,3;8,1;0,6;-13,4;6,0;5,7;-0,2;0,6;7,6
 ;Switzerland;0,2;-1,0;5,1;3,2;4,7;4,9;0,7;-7,5;4,4;4,3;2,9;1,2;2,1
 ;Turkey;14,7;14,2;28,4;17,4;13,3;3,1;-6,2;-19,0;30,5;18,0;-2,7;4,4;-1,3
 ;United Kingdom;2,8;2,3;2,8;3,4;3,0;5,7;-5,9;-14,4;5,0;2,0;1,5;2,6;7,5
 ;United States;-1,8;3,9;5,8;5,6;2,2;-1,2;-4,8;-13,1;1,1;3,7;6,3;2,4;4,1
 ;Euro area;-1,2;1,3;2,7;2,8;5,5;4,9;-0,6;-11,3;-0,4;1,6;-3,6;-2,6;1,2
 ;EU 28;-0,6;1,7;3,1;3,0;5,8;5,8;-0,5;-12,0;0,2;2,0;-2,8;-1,6;2,5
 ;OECD;-0,6;2,8;4,5;4,6;4,1;2,6;-2,2;-10,9;2,0;3,6;1,8;0,8;2,8
 ;Brazil;-1,5;-3,9;8,4;2,3;6,1;12,0;12,7;-1,9;17,8;6,6; ..; ..; ..
 ;China; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..; ..
 ;India; ..; ..; ..;16,2;13,8;16,2;1,5;7,3; ..; ..; ..; ..; ..
 ;Indonesia;4,7;0,6;14,7;10,9;2,6;9,3;11,9;3,9;6,7;8,9;9,1;5,3;4,1
 ;Russian Federation;3,1;13,9;12,0;10,2;17,9;21,1;9,7;-14,7;6,4;9,2;7,0;0,6;-2,1
 ;South Africa;3,5;10,2;12,9;11,0;12,1;13,8;12,8;-6,7;-3,9;5,7;3,6;7,6;-0,4
..;Not available;;;;;;;;;;;;;
Disclaimer: http://oe.cd/disclaimer;;;;;;;;;;;;;;
