OECD Factbook 2015-2016 - ISBN 9789264251113 - © OECD 2016;;;;;;;;;;;;;;
 ;Population levels;;;;;;;;;;;;;
 ;Thousands;;;;;;;;;;;;;
 ; ;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ;Australia;19 495;19 721;19 933;20 177;20 451;20 828;21 249;21 692;22 032;22 340;22 728;23 126;23 491
 ;Austria;8 082;8 118;8 169;8 225;8 268;8 295;8 322;8 341;8 361;8 389;8 426;8 469; ..
 ;Belgium;10 333;10 376;10 421;10 479;10 548;10 626;10 710;10 796;10 920;11 048;11 128;11 178;11 227
 ;Canada;31 354;31 640;31 941;32 245;32 576;32 928;33 318;33 727;34 127;34 484;34 880;35 154;35 540
 ;Chile;15 668;15 838;16 002;16 165;16 332;16 505;16 687;16 877;17 066;17 256;17 445;17 632;17 819
 ;Czech Republic;10 201;10 202;10 207;10 234;10 267;10 323;10 430;10 491;10 517;10 497;10 509;10 511;10 525
 ;Denmark;5 376;5 391;5 405;5 419;5 437;5 461;5 494;5 523;5 548;5 571;5 592;5 615; ..
 ;Estonia;1 379;1 371;1 363;1 355;1 347;1 341;1 337;1 335;1 331;1 327;1 323;1 318;1 316
 ;Finland;5 201;5 213;5 228;5 246;5 267;5 289;5 313;5 339;5 363;5 388;5 414;5 439;5 472
 ;France;59 894;60 304;60 734;61 182;61 597;61 965;62 300;62 615;62 918;63 223;63 514;63 786;64 062
 ;Germany;82 456;82 502;82 491;82 465;82 369;82 257;82 135;81 904;81 715;80 249;80 413;80 611;80 896
 ;Greece;10 983;11 016;11 057;11 093;11 131;11 163;11 186;11 185;11 153;11 124;11 090; ..; ..
 ;Hungary;10 159;10 130;10 107;10 087;10 071;10 056;10 038;10 023;10 000;9 972;9 920;9 893;9 863
 ;Iceland;288;289;293;296;304;311;319;319;318;319;321;324;327
 ;Ireland;3 917;3 980;4 045;4 134;4 233;4 376;4 485;4 533;4 555;4 575;4 585;4 593;4 610
 ;Israel;6 570;6 690;6 809;6 930;7 054;7 180;7 309;7 486;7 624;7 766;7 911;8 059; ..
 ;Italy;57 474;57 478;57 297;57 716;57 984;58 272;58 740;59 140;59 420;59 660;59 898;60 225;60 448
 ;Japan;127 435;127 619;127 687;127 768;127 770;127 771;127 692;127 510;128 057;127 799;127 515;127 298; ..
 ;Korea;47 622;47 859;48 039;48 138;48 372;48 598;48 949;49 182;49 410;49 779;50 004;50 220;50 424
 ;Luxembourg;446;450;455;461;469;476;484;494;502;512;525;537;550
 ;Mexico;100 909;102 000;103 002;107 151;108 409;109 787;111 299;112 853;114 256;115 683;117 054;118 395;119 713
 ;Netherlands;16 149;16 225;16 282;16 320;16 346;16 382;16 446;16 530;16 615;16 693;16 755;16 804; ..
 ;New Zealand;3 949;4 027;4 088;4 134;4 185;4 224;4 260;4 303;4 351;4 384;4 408;4 442;4 510
 ;Norway;4 538;4 564;4 592;4 623;4 661;4 709;4 768;4 829;4 889;4 953;5 019;5 080;5 137
 ;Poland;38 232;38 195;38 180;38 161;38 132;38 116;38 116;38 153;38 517;38 526;38 534;38 502;38 484
 ;Portugal;10 420;10 459;10 484;10 503;10 522;10 543;10 558;10 568;10 573;10 558;10 515;10 457; ..
 ;Slovak Republic;5 377;5 373;5 372;5 373;5 373;5 375;5 379;5 386;5 391;5 398;5 408;5 416; ..
 ;Slovenia;1 996;1 997;1 997;2 001;2 009;2 019;2 023;2 042;2 049;2 052;2 056;2 059;2 062
 ;Spain;41 424;42 196;42 859;43 663;44 361;45 236;45 983;46 368;46 562;46 736;46 766;46 593;46 464
 ;Sweden;8 925;8 958;8 994;9 030;9 081;9 148;9 220;9 299;9 378;9 449;9 519;9 609; ..
 ;Switzerland;7 285;7 339;7 390;7 437;7 484;7 551;7 648;7 744;7 828;7 912;7 997;8 140; ..
 ;Turkey;66 003;66 795;67 599;68 435;69 295;70 158;71 052;72 039;73 142;74 224;75 176;76 055;76 903
 ;United Kingdom;58 570;58 839;59 149;59 591;60 003;60 482;60 982;61 424;61 915;62 435;62 859;63 238;63 650
 ;United States;287 625;290 108;292 805;295 517;298 380;301 231;304 094;306 772;309 347;311 722;314 112;316 498;318 857
 ;EU 28;489 827;491 624;493 577;495 518;497 369;499 299;501 194;502 630;503 833;505 035;506 100;506 736; ..
 ;OECD;1 168 022;1 176 212;1 184 415;1 192 754;1 201 155;1 210 194;1 219 475;1 227 932;1 236 914;1 243 751;1 250 277;1 257 114; ..
 ;Brazil;175 077;177 360;183 439;185 651;187 852;189 954;192 000;193 995;193 253;197 825;199 689;201 467; ..
 ;China;1 295 322;1 302 810;1 310 414;1 318 177;1 326 146;1 334 344;1 342 733;1 351 248;1 359 822;1 368 440;1 377 065;1 385 567; ..
 ;India;1 076 706;1 093 787;1 110 626;1 127 144;1 143 289;1 159 095;1 174 662;1 190 138;1 205 625;1 221 156;1 236 687;1 252 140; ..
 ;Indonesia;215 038;218 146;221 294;224 481;227 710;230 973;234 244;237 487;240 677;243 802;246 864;249 866; ..
 ;Russian Federation;145 306;144 649;144 067;143 519;143 050;142 805;142 742;142 785;142 849;142 961;143 207;143 507; ..
 ;South Africa;45 545;46 127;46 727;47 350;47 991;48 658;49 345;50 055;50 792;51 554;52 341;53 158;54 002
..;Not available;;;;;;;;;;;;;
Disclaimer: http://oe.cd/disclaimer;;;;;;;;;;;;;;
