OECD Factbook 2015-2016 - ISBN 9789264251113 - © OECD 2016;;;;;;;;;;;;;;
 ;Real GDP growth;;;;;;;;;;;;;
 ;Annual growth in percentage;;;;;;;;;;;;;
 ; ;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ;Australia;3,1;4,2;3,2;3,0;3,8;3,7;1,7;2,0;2,3;3,7;2,5;2,5;2,7
 ;Austria;1,7;0,8;2,7;2,1;3,4;3,6;1,5;-3,8;1,9;2,8;0,8;0,3;0,4
 ;Belgium;1,8;0,8;3,6;2,1;2,5;3,4;0,7;-2,3;2,7;1,8;0,2;0,0;1,3
 ;Canada;2,8;1,9;3,1;3,2;2,6;2,0;1,2;-2,7;3,4;3,0;1,9;2,0;2,4
 ;Chile;2,7;3,8;7,0;6,2;5,7;5,2;3,3;-1,0;5,8;5,8;5,5;4,2;1,9
 ;Czech Republic;1,6;3,6;4,9;6,4;6,9;5,5;2,7;-4,8;2,3;2,0;-0,9;-0,5;2,0
 ;Denmark;0,5;0,4;2,6;2,4;3,8;0,8;-0,7;-5,1;1,6;1,2;-0,7;-0,5;1,1
 ;Estonia;6,1;7,4;6,3;9,4;10,3;7,7;-5,4;-14,7;2,5;7,6;5,2;1,6;2,9
 ;Finland;1,7;2,0;3,9;2,8;4,1;5,2;0,7;-8,3;3,0;2,6;-1,4;-1,1;-0,4
 ;France;1,1;0,8;2,8;1,6;2,4;2,4;0,2;-2,9;2,0;2,1;0,2;0,7;0,2
 ;Germany;0,0;-0,7;1,2;0,7;3,7;3,3;1,1;-5,6;4,1;3,7;0,4;0,3;1,6
 ;Greece;3,9;5,8;5,1;0,6;5,7;3,3;-0,3;-4,3;-5,5;-9,1;-7,3;-3,2;0,7
 ;Hungary;4,5;3,8;4,9;4,4;3,8;0,4;0,8;-6,6;0,7;1,8;-1,7;1,9;3,7
 ;Iceland;0,5;2,7;8,2;6,0;4,2;9,5;1,5;-4,7;-3,6;2,0;1,2;3,9;1,8
 ;Ireland;5,9;3,8;4,4;6,3;6,3;5,5;-2,2;-5,6;0,4;2,6;0,2;1,4;5,2
 ;Israel;-0,1;1,2;5,1;4,4;5,8;6,1;3,1;1,3;5,5;5,0;2,9;3,3;2,6
 ;Italy;0,3;0,2;1,6;0,9;2,0;1,5;-1,0;-5,5;1,7;0,6;-2,8;-1,7;-0,4
 ;Japan;0,3;1,7;2,4;1,3;1,7;2,2;-1,0;-5,5;4,7;-0,5;1,8;1,6;-0,1
 ;Korea;7,4;2,9;4,9;3,9;5,2;5,5;2,8;0,7;6,5;3,7;2,3;2,9;3,3
 ;Luxembourg;3,6;1,4;4,4;3,2;5,1;8,4;-0,8;-5,4;5,7;2,6;-0,8;4,3;4,1
 ;Mexico;0,8;1,4;4,2;3,1;5,0;3,2;1,4;-4,7;5,2;3,9;4,0;1,4;2,1
 ;Netherlands;0,1;0,3;2,0;2,2;3,5;3,7;1,7;-3,8;1,4;1,7;-1,1;-0,5;1,0
 ;New Zealand;4,9;4,6;3,8;3,4;2,8;3,0;-1,6;-0,3;1,4;2,2;2,2;2,5;3,0
 ;Norway;1,4;0,9;4,0;2,6;2,4;2,9;0,4;-1,6;0,6;1,0;2,7;0,7;2,2
 ;Poland;2,0;3,6;5,1;3,5;6,2;7,2;3,9;2,6;3,7;5,0;1,6;1,3;3,3
 ;Portugal;0,8;-0,9;1,8;0,8;1,6;2,5;0,2;-3,0;1,9;-1,8;-4,0;-1,1;0,9
 ;Slovak Republic;4,5;5,4;5,3;6,4;8,5;10,8;5,7;-5,5;5,1;2,8;1,5;1,4;2,5
 ;Slovenia;3,8;2,8;4,4;4,0;5,7;6,9;3,3;-7,8;1,2;0,6;-2,7;-1,1;3,0
 ;Spain;2,9;3,2;3,2;3,7;4,2;3,8;1,1;-3,6;0,0;-1,0;-2,6;-1,7;1,4
 ;Sweden;2,1;2,4;4,3;2,8;4,7;3,4;-0,6;-5,2;6,0;2,7;-0,3;1,2;2,3
 ;Switzerland;0,1;0,0;2,8;3,0;4,0;4,1;2,3;-2,1;3,0;1,8;1,1;1,8;1,9
